         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1490    0.006    0.000    0.015    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:365(descr)
     1593    0.006    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:711(descr)
 4584/324    0.006    0.000   16.328    0.050 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:272(check)
13029/12863    0.006    0.000    0.063    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\manager.py:29(lookup)
     3972    0.006    0.000    0.028    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:103(_match_arglist)
     3050    0.006    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\ctypes\__init__.py:517(cast)
     1569    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
     4057    0.006    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1091(_to_list)
     1703    0.006    0.000    0.020    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:396(_eliminate_dead_blocks)
    20230    0.006    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:126(predecessors)
     4430    0.006    0.000    0.008    0.000 <frozen ntpath>:179(splitroot)
     60/4    0.006    0.000   16.392    4.098 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
      132    0.006    0.000    0.011    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\executionengine.py:145(_find_module_ptr)
     2512    0.005    0.000    0.148    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\runtime\context.py:360(_call_incref_decref)
     1572    0.005    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\functions.py:245(__init__)
 2002/999    0.005    0.000    0.039    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:416(_format_items)
       60    0.005    0.000    0.005    0.000 {built-in method nt._path_exists}
